GRUPO_REFERENCIA;MUNICIPIO_INSTITUCION;DEPARTAMENTO_INSTITUCION;ID_INSTITUCION;INSTITUCION;ORIGEN;CARACTER;SNIES;MUNICIPIO_PROGRAMAACADEMICO;DEPARTAMENTO_PROGRAMAACADEMICO;PROGRAMA_ACADEMICO;NOMBRE_MODULO;TOTAL_EVALGRUPO_INSTPROGRAMA;PROMEDIO_PUNTAJEGLOBAL;DESVI_ESTANDAR_PUNTAJEGLOBAL;PROMEDIO_PUNTAJEPRUEBA;DESVI_ESTANDAR_PUNTAJEPRUEBA
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;1770;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;195;185;16;190;26
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;1770;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;195;185;16;181;24
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;1770;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;195;185;16;191;27
ADMINISTRACIÓN Y AFINES;MEDELLÍN;ANTIOQUIA;2110;COLEGIO MAYOR DE ANTIOQUIA-MEDELLIN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;3205;MEDELLÍN;ANTIOQUIA;ADMINISTRACION DE EMPRESAS TURISTICAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;57;151;21;154;28
ADMINISTRACIÓN Y AFINES;MEDELLÍN;ANTIOQUIA;2110;COLEGIO MAYOR DE ANTIOQUIA-MEDELLIN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;3205;MEDELLÍN;ANTIOQUIA;ADMINISTRACION DE EMPRESAS TURISTICAS;GESTIÓN DE ORGANIZACIONES;57;151;21;143;32
ADMINISTRACIÓN Y AFINES;MEDELLÍN;ANTIOQUIA;2110;COLEGIO MAYOR DE ANTIOQUIA-MEDELLIN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;3205;MEDELLÍN;ANTIOQUIA;ADMINISTRACION DE EMPRESAS TURISTICAS;GESTIÓN FINANCIERA;57;151;21;137;26
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;90834;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE COMERCIO EXTERIOR;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;40;131;17;129;25
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;90834;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE COMERCIO EXTERIOR;GESTIÓN DE ORGANIZACIONES;40;131;17;113;29
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;90834;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE COMERCIO EXTERIOR;GESTIÓN FINANCIERA;40;131;17;116;15
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;105319;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;14;136;17;138;31
